               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.039501,            0.028114,           0.0023322,              0.9012,             0.48626,             0.72283,             0.40858,            0.038714,            0.024633,           0.0028843,             0.00307,             0.00307,             0.00307
                  37,            0.039654,            0.028353,           0.0021152,              0.9081,             0.48995,             0.73671,             0.41396,            0.038343,            0.024839,            0.003705,            0.002872,            0.002872,            0.002872
                  38,            0.038802,            0.029184,           0.0020665,             0.89913,             0.49576,             0.72978,             0.41676,            0.038421,            0.024778,           0.0034028,            0.002674,            0.002674,            0.002674
                  39,            0.039419,            0.026406,           0.0021556,             0.60785,             0.70117,             0.73885,             0.42091,            0.038597,            0.024862,           0.0041216,            0.002476,            0.002476,            0.002476
                  40,            0.038909,            0.026564,           0.0022868,             0.63865,             0.70882,              0.7363,             0.42954,            0.038125,            0.024638,           0.0034797,            0.002278,            0.002278,            0.002278
                  41,            0.038871,            0.026287,           0.0022966,             0.62969,             0.71859,             0.75582,             0.43573,            0.037678,            0.024324,           0.0028342,             0.00208,             0.00208,             0.00208
                  42,            0.038443,            0.027104,           0.0021499,             0.65194,             0.68669,             0.73497,             0.42737,            0.038108,            0.024406,           0.0030837,            0.001882,            0.001882,            0.001882
                  43,            0.038244,            0.027231,           0.0019633,             0.68155,             0.66197,             0.71822,             0.41274,            0.038163,            0.024445,           0.0030796,            0.001684,            0.001684,            0.001684
                  44,            0.038195,            0.027687,           0.0020823,             0.68933,             0.66709,             0.75624,             0.43894,            0.037873,            0.024742,           0.0032444,            0.001486,            0.001486,            0.001486
                  45,            0.038013,            0.027691,           0.0019535,             0.67629,             0.72503,             0.76237,             0.44361,            0.037636,            0.024353,           0.0029335,            0.001288,            0.001288,            0.001288
                  46,            0.037722,            0.027747,           0.0019307,             0.68194,             0.68851,             0.76424,             0.43455,            0.037448,            0.024278,           0.0030149,             0.00109,             0.00109,             0.00109
                  47,             0.03711,            0.026672,           0.0018907,              0.7045,             0.72008,             0.75689,             0.43469,            0.037441,             0.02436,           0.0030366,            0.000892,            0.000892,            0.000892
                  48,            0.036753,             0.02512,           0.0018796,              0.6969,             0.74968,             0.77046,             0.44115,            0.037353,            0.024345,           0.0028608,            0.000694,            0.000694,            0.000694
                  49,            0.037355,            0.026231,           0.0017554,             0.70304,             0.71755,             0.76677,             0.44428,            0.037279,            0.024252,           0.0029971,            0.000496,            0.000496,            0.000496
